rank	chr	pos	variant	consequence_protein	Gene	abc_s	abc_s_CImin	abc_s_CImax	cnn_s	cnn_s_CImin	cnn_s_CImax	abc_t	abc_t_CImin	abc_t_CImax	cnn_t	cnn_t_CImin	cnn_t_CImax	failure	overlap_s	overlap_t	overlap_BA	ABC_s_CIextent	CNN_s_CIextent	ABC_t_CIextent	CNN_t_CIextent	JOB_ID	s_CORREL_CNN	s_CORREL_ABC	s_RMSE_CNN	s_RMSE_ABC	t_CORREL_CNN	t_CORREL_ABC	t_RMSE_CNN	t_RMSE_ABC
1	2	136608646	rs4988235	intron_variant	LCT-MCM6	0.0786357604578185	0.0651045189344299	0.0943527962516365	0.07371758	0.058	0.092	6293.39675338025	3273.93870870175	8607.7954037445	5030.2905	3962.50000000001	6762.5	0	1	1	1	0.0292482773172066	0.034	5333.85669504275	2800	JOB_1	0.878	0.835	0.047	0.067	0.694	0.569	0.275	0.375
72	1	2020489	rs6694101	intron_variant	PRKCZ	0.0139595905031966	0.00480322292083116	0.026917804787884	0.01351698	0.003	0.029	2145.97343442026	-380.510950761504	8552.35534847824	2974.52175	1337.50000000001	7462.50000000001	0	1	1	1	0.0221145818670528	0.026	8932.86629923975	6125	JOB_2	0.914	0.82	0.046	0.073	0.635	0.544	0.303	0.386
82	3	2620454	rs12715075	intron_variant	CNTN4	0.0169164762024957	0.00582861365482466	0.0465082026943993	0.01903848	0.008	0.035	1455.18501703175	-1160.37233040375	7263.52617770399	1747.595	1337.50000000001	2737.5	0	1	1	1	0.0406795890395746	0.027	8423.89850810774	1399.99999999999	JOB_3	0.936	0.861	0.042	0.073	0.736	0.561	0.269	0.394
17	3	31776980	rs4374563	intron_variant	OSBPL10	0.0195528085833537	0.0100244610737158	0.0355499895967019	0.02742606	0.011	0.047	2008.984562796	-765.6101549195	7548.933187662	1663.933625	1337.50000000001	2737.5	0	1	1	1	0.0255255285229861	0.036	8314.5433425815	1399.99999999999	JOB_4	0.902	0.825	0.049	0.064	0.745	0.6	0.265	0.363
26	3	33419422	rs2291897	upstream_gene_variant	FBXL2	0.024074253695041	0.0117899286189373	0.0446367452428854	0.02600383	0.008	0.053	1548.89701659575	-1030.65948930676	7734.035450218	2463.625875	1337.50000000001	7287.49999999999	0	1	1	1	0.0328468166239481	0.045	8764.69493952476	5949.99999999999	JOB_5	0.922	0.852	0.046	0.067	0.681	0.52	0.298	0.404
24	3	49389842	rs17080528	downstream_gene_variant	GPX1	0.0181730277744711	0.00761968628597096	0.0332210840246747	0.01778173	0.002	0.044	2368.4323781445	-585.123321128748	8609.75986129225	2412.168875	1337.50000000001	8775.00000000001	0	1	1	1	0.0256013977387037	0.042	9194.88318242099	7437.5	JOB_6	0.826	0.832	0.053	0.071	0.693	0.565	0.296	0.377
10	3	184770686	rs9840198	downstream_gene_variant	VPS8	0.020760643035502	0.00931805976233637	0.0475467612843338	0.02188851	0.005	0.048	1489.3775536805	-913.655364913495	8664.3318631605	1918.236625	1337.50000000001	5275.00000000001	0	1	1	1	0.0382287015219974	0.043	9577.98722807399	3937.5	JOB_7	0.853	0.826	0.054	0.07	0.704	0.514	0.319	0.404
69	3	185822353	rs10513801	downstream_gene_variant	ETV5	0.0197708276354827	0.0063484617171285	0.0491439839509434	0.02269682	0.006	0.051	3850.19103407301	1678.402344899	10484.301138331	3624.932	1337.50000000001	9474.99999999999	0	1	1	1	0.0427955222338149	0.045	8805.89879343201	8137.49999999999	JOB_8	0.85	0.821	0.062	0.075	0.656	0.469	0.32	0.446
61	4	156105105	rs4280687	intergenic_region	RBM46-RP11-92A5.2	0.013165964606993	0.00562110619987958	0.0318968972206207	0.01274348	0.005	0.025	3882.049730147	1098.45121730724	10047.6295953065	4319.966375	2037.49999999999	9037.49999999999	0	1	1	1	0.0262757910207411	0.02	8949.17837799926	7000	JOB_9	0.903	0.819	0.044	0.075	0.697	0.538	0.295	0.405
73	5	460710	rs55846849	upstream_gene_variant	EXOC3	0.016326736556832	0.00525913693300892	0.0345470182375148	0.02428869	0.007	0.051	2833.14762646376	614.835039336256	9509.1264267065	1756.781625	1337.50000000001	4224.99999999999	0	1	1	1	0.0292878813045059	0.044	8894.29138737025	2887.49999999999	JOB_10	0.904	0.826	0.064	0.07	0.71	0.562	0.31	0.381
55	5	2960267	rs2974658	upstream_gene_variant	RP11-35O7.1	0.0132602848010278	0.00552986660726025	0.0316206213305346	0.01385937	0.006	0.026	2844.28228636649	545.385502581993	8537.0568482235	3586.705875	2037.49999999999	6237.5	0	1	1	1	0.0260907547232744	0.02	7991.67134564151	4200	JOB_11	0.909	0.865	0.045	0.067	0.695	0.561	0.297	0.389
54	5	5817703	rs3957465	intergenic_region	KIAA0947-CTC-471C19.1	0.0164508551683223	0.00651249829575357	0.0302029120033015	0.02014927	0.006	0.038	2411.65574671575	94.5878142484986	8684.91264917876	1883.821125	1337.50000000001	3525.00000000001	0	1	1	1	0.0236904137075479	0.032	8590.32483493026	2187.5	JOB_12	0.875	0.862	0.042	0.066	0.712	0.532	0.301	0.405
2	5	33952106	rs185146	intron_variant	SLC45A2	0.0604312960138355	0.0387147364268227	0.0851990258977023	0.0533812	0.036	0.08	4202.27796994826	2976.81607149975	7524.77638979175	3945.135625	3000	7025.00000000001	0	1	1	1	0.0464842894708796	0.044	4547.960318292	4025.00000000001	JOB_13	0.937	0.86	0.049	0.067	0.763	0.56	0.268	0.378
11	5	131365784	rs4705844	intergenic_region	AC034228.2-IL3	0.0250097908119201	0.0123712833032617	0.0621225528618963	0.01303992	0.008	0.019	7283.71529445801	3164.601794218	11589.105635407	8840.83675	6762.5	10000	0	1	1	1	0.0497512695586346	0.011	8424.50384118899	3237.5	JOB_14	0.87	0.847	0.046	0.066	0.723	0.572	0.292	0.368
8	5	151845342	rs10515671	intergenic_region	NMUR2-CTC-550M4.1	0.0378099148227667	0.018262942721533	0.066191905414462	0.03240238	0.01	0.071	2449.2761071465	93.038459310506	8425.52139108275	4410.248	1337.50000000001	9737.5	0	1	1	1	0.047928962692929	0.061	8332.48293177225	8399.99999999999	JOB_15	0.86	0.832	0.06	0.074	0.637	0.519	0.324	0.434
